sim,fy,region,country,type,clients
1,FY19,Latin America,Colombia,edu_f,0
1,FY19,Latin America,Colombia,edu_m,0
1,FY19,Latin America,Colombia,edu_total,0
1,FY19,Latin America,Colombia,health_f,35981.237662860054
1,FY19,Latin America,Colombia,health_m,5823.136723814173
1,FY19,Latin America,Colombia,health_total,41804.37438667423
1,FY19,Latin America,Colombia,power_f,0
1,FY19,Latin America,Colombia,power_m,0
1,FY19,Latin America,Colombia,power_total,0
1,FY19,Latin America,Colombia,safety_f,3944.739205375315
1,FY19,Latin America,Colombia,safety_m,35.5127923192246
1,FY19,Latin America,Colombia,safety_total,3980.25199769454
1,FY19,Latin America,Colombia,wb_f,325.8987868349799
1,FY19,Latin America,Colombia,wb_m,85.74177692570409
1,FY19,Latin America,Colombia,wb_total,411.640563760684
1,FY19,Latin America,Colombia,clients_f,38884.93382523075
1,FY19,Latin America,Colombia,clients_m,5897.988200676054
1,FY19,Latin America,Colombia,clients_total,44782.9220259068
1,FY19,Latin America,NCA,edu_f,0
1,FY19,Latin America,NCA,edu_m,0
1,FY19,Latin America,NCA,edu_total,0
1,FY19,Latin America,NCA,health_f,0
1,FY19,Latin America,NCA,health_m,0
1,FY19,Latin America,NCA,health_total,0
1,FY19,Latin America,NCA,power_f,54.48775715008017
1,FY19,Latin America,NCA,power_m,81.0032775416413
1,FY19,Latin America,NCA,power_total,135.49103469172147
1,FY19,Latin America,NCA,safety_f,0
1,FY19,Latin America,NCA,safety_m,0
1,FY19,Latin America,NCA,safety_total,0
1,FY19,Latin America,NCA,wb_f,473.06058980500126
1,FY19,Latin America,NCA,wb_m,226.1157880397106
1,FY19,Latin America,NCA,wb_total,699.1763778447119
1,FY19,Latin America,NCA,clients_f,501.8206867365984
1,FY19,Latin America,NCA,clients_m,268.8714865922092
1,FY19,Latin America,NCA,clients_total,770.6921733288077
1,FY20,Latin America,Colombia,edu_f,0
1,FY20,Latin America,Colombia,edu_m,0
1,FY20,Latin America,Colombia,edu_total,0
1,FY20,Latin America,Colombia,health_f,63250.019779809605
1,FY20,Latin America,Colombia,health_m,25727.750537039392
1,FY20,Latin America,Colombia,health_total,88977.770316849
1,FY20,Latin America,Colombia,power_f,0
1,FY20,Latin America,Colombia,power_m,0
1,FY20,Latin America,Colombia,power_total,0
1,FY20,Latin America,Colombia,safety_f,3341.003194256364
1,FY20,Latin America,Colombia,safety_m,146.67595746455345
1,FY20,Latin America,Colombia,safety_total,3487.6791517209176
1,FY20,Latin America,Colombia,wb_f,4408.932560908096
1,FY20,Latin America,Colombia,wb_m,1364.3020325635914
1,FY20,Latin America,Colombia,wb_total,5773.234593471688
1,FY20,Latin America,Colombia,clients_f,67101.87961633384
1,FY20,Latin America,Colombia,clients_m,26365.646362789343
1,FY20,Latin America,Colombia,clients_total,93467.5259791232
1,FY20,Latin America,Mexico,edu_f,0
1,FY20,Latin America,Mexico,edu_m,0
1,FY20,Latin America,Mexico,edu_total,0
1,FY20,Latin America,Mexico,health_f,0.2665603989749481
1,FY20,Latin America,Mexico,health_m,0
1,FY20,Latin America,Mexico,health_total,0.2665603989749481
1,FY20,Latin America,Mexico,power_f,911.1494616149578
1,FY20,Latin America,Mexico,power_m,149.58873315579697
1,FY20,Latin America,Mexico,power_total,1060.7381947707547
1,FY20,Latin America,Mexico,safety_f,1065.6863467282724
1,FY20,Latin America,Mexico,safety_m,88.66373293796116
1,FY20,Latin America,Mexico,safety_total,1154.3500796662336
1,FY20,Latin America,Mexico,wb_f,463.57940618051015
1,FY20,Latin America,Mexico,wb_m,155.67649152568063
1,FY20,Latin America,Mexico,wb_total,619.2558977061908
1,FY20,Latin America,Mexico,clients_f,1856.8223753671111
1,FY20,Latin America,Mexico,clients_m,257.62129633770417
1,FY20,Latin America,Mexico,clients_total,2114.4436717048156
1,FY20,Latin America,NCA,edu_f,0
1,FY20,Latin America,NCA,edu_m,0
1,FY20,Latin America,NCA,edu_total,0
1,FY20,Latin America,NCA,health_f,0
1,FY20,Latin America,NCA,health_m,0
1,FY20,Latin America,NCA,health_total,0
1,FY20,Latin America,NCA,power_f,0
1,FY20,Latin America,NCA,power_m,0
1,FY20,Latin America,NCA,power_total,0
1,FY20,Latin America,NCA,safety_f,2527.6753629807586
1,FY20,Latin America,NCA,safety_m,1668.350862941547
1,FY20,Latin America,NCA,safety_total,4196.0262259223055
1,FY20,Latin America,NCA,wb_f,632.2865640692504
1,FY20,Latin America,NCA,wb_m,48.58870215590028
1,FY20,Latin America,NCA,wb_total,680.8752662251507
1,FY20,Latin America,NCA,clients_f,2881.183797928096
1,FY20,Latin America,NCA,clients_m,1695.5165771741729
1,FY20,Latin America,NCA,clients_total,4576.7003751022685
