sim,fy,region,country,EDU.007_f,EDU.007_m,EDU.094_f,EDU.094_m,EDU.101_f,EDU.101_m,EDU.102_f,EDU.102_m,ENH.016_f,ENH.016_m,ENH.028_f,ENH.028_m,ENH.034_f,ENH.034_m,ENH.037_f,ENH.037_m,EWB.031_f,EWB.031_m,EWB.033_f,EWB.033_m,EWB.034_f,EWB.034_m,EWB.035_f,EWB.035_m,EWB.036_f,EWB.036_m,EWB.038_f,EWB.038_m,EWB.040_f,EWB.040_m,EWB.042_f,EWB.042_m,EWB.044_f,EWB.044_m,EWB.050_f,EWB.050_m,EWB.054_f,EWB.054_m,EWB.055_f,EWB.055_m,EWB.056_f,EWB.056_m,EWB.082_f,EWB.082_m,EWB.083_f,EWB.083_m,EWB.084_f,EWB.084_m,GBV.002_f,GBV.002_m,GBV.004_f,GBV.004_m,GBV.021_f,GBV.021_m,GBV.022_f,GBV.022_m,NUT.004_f,NUT.004_m,NUT.005_f,NUT.005_m,NUT.006_f,NUT.006_m,NUT.058_f,PHC.031_f,PHC.031_m,PHC.033_f,PHC.033_m,PHC.035_f,PHC.035_m,PHC.037_f,PHC.037_m,PHC.050_f,PHC.050_m,PHC.078_f,PHC.078_m,PHC.079_f,PHC.079_m,PHC.pop_f,PHC.pop_m,POW.039_f,POW.039_m,POW.040_f,POW.040_m,POW.053_f,POW.053_m,POW.054_f,POW.054_m,POW.055.cp_f,POW.055.cp_m,POW.055.ew_f,POW.055.ew_m,POW.055.gv_f,POW.055.gv_m,POW.055.pl_f,POW.055.pl_m,POW.055.wp_f,POW.055.wp_m,POW.056_f,POW.056_m,POW.069_f,POW.069_m,POW.075_f,POW.075_m,POW.076_f,POW.076_m,POW.077_f,POW.077_m,POW.078_f,POW.078_m,POW.081_f,POW.081_m,POW.082_f,POW.082_m,SHC.002_f,SHC.002_m,SHC.003_f,SHC.003_m,SHC.004_f,SHC.004_m,SHC.006_f,SHC.006_m,SHC.007_f,SHC.007_m,SHC.011_f,SHC.011_m,SHC.013_f,SHC.013_m,SHC.033_f,SHC.033_m,SHC.037_f,SHC.037_m,SHC.045_f,SHC.045_m,SHC.046_f,SHC.047_f,SHC.047_m,SHC.065_f,SHC.065_m,SHC.905_f,SHC.905_m,SHC.906_f,SHC.906_m,SIC.004_f,SIC.004_m,SIC.009_f,SIC.009_m,SIC.018_f,SIC.018_m,SRH.001_f,SRH.001_m,SRH.021_f,SRH.028_f,health_adj_coef_f,health_adj_coef_m,edu_f,edu_m,edu_total,health_f,health_m,health_catchment_f,health_catchment_m,power_f,power_m,power_total,safety_f,safety_m,safety_total,wb_f,wb_m,wb_total,catchment_fix_f,catchment_fix_m,health_presence_f,health_weight_f,adjusted_health_f,health_presence_m,health_weight_m,adjusted_health_m,adjusted_health_total,edu_overlap_f,edu_overlap_m,health_overlap_f,health_overlap_m,power_overlap_f,power_overlap_m,safety_overlap_f,safety_overlap_m,wb_overlap_f,wb_overlap_m,edu_clients_f,edu_clients_m,edu_clients,health_clients_f,health_clients_m,health_clients,power_clients_f,power_clients_m,power_clients,safety_clients_f,safety_clients_m,safety_clients,wb_clients_f,wb_clients_m,wb_clients,max_original_sector,total_clients_f,total_clients_m,total_clients
1,FY19,Latin America,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479.2043897478093,0,0,0,60.46871589173001,4.018967085014006,0,0,0,0,0,0,0,0,0,0,0,0,0,971.9829180675248,166.46775294586658,70.4755776330162,13.857476293511406,824.1164814970616,212.44125651243147,0,0,262750.0341265107,43861.9928631411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.88011862064786,50.18598111512861,31.493825234210593,0,0,0,0,0,0,0,0,0,0,0,0,1379.305389466848,393.9219069333962,31.097068786244538,3969.6003611796777,0.1689374447874322,0.16079524154163533,0,0,0,7246.577796630373,786.6883926852056,218361.7147433674,36809.19312621484,0,0,0,3944.7392053753156,35.5127923192246,3980.25199769454,761,508,1269,FALSE,FALSE,0.03318611875322106,0.14265879954216895,37364.009798632476,0.0213720629514408,0.13860875442137804,5779.722904937944,43143.73270357042,0.5063089230468686,0.5063089229495278,0.6835997614659419,0.683599762600333,0.5487015962860196,0.5487015963620478,0.5606782568867171,0.5606782568867171,0.6027310612107187,0.6027310612107187,0,0,0,25542.028185756277,3951.017205711285,29493.04539146756,0,0,0,2211.7295015425257,19.911250494722847,2231.6407520372486,458.67833758135697,306.1873790950451,764.8657166764021,43143.73270357042,40034.417637756356,6105.821534527711,46140.23917228407
1,FY19,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54314462133242,63.199725974471484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94461252874775,17.80355156716981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04733869278519766,0.09871345911820148,0,0,0,0,0,0,0,54.48775715008017,81.0032775416413,135.49103469172147,0,0,0,1190,985,2175,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.7571397270910792,0.7571397270390438,0.3201776519314782,0.320177652537885,0.4403003835626936,0.44030038360333557,0.4902212188745836,0.4902212188745836,0.5495276915386973,0.5495276915386973,0,0,0,0,0,0,23.990980372651197,35.66577417471212,59.65675454736332,0,0,0,653.9379529310498,541.2847761656168,1195.2227290966666,2175,1213.990980372651,1020.665774174712,2234.6567545473636
1,FY20,Latin America,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18246,14864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789.6673199585275,59.783405109627466,291.1256835433254,0,33.01021419476032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453.493983444919,1416.5339586965604,0,0,2772.4178570179224,1362.674186837339,0,0,237586.36863329602,78251.19920317047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0517998264167,98.14817673333431,86.892552354926,0,0,0,0,0,0,0,0,0,0,0,0,4955.192010118448,2075.4289925516305,832.6914576215045,3159.3730286017735,0.09407371674815339,0.13189681466460912,0,0,0,15173.168336804567,4854.63713808553,215235.73588726498,67930.11528458649,0,0,0,3341.0031942563646,146.67595746455345,3487.679151720918,18246,14864,33110,FALSE,FALSE,0.07049558138780397,0.25593849093861515,66376.87996897416,0.07146516854487157,0.32530846992765194,25373.624423878806,91750.50439285296,0.6233772012393066,0.6233772013568358,0.6067879045770218,0.6067879032073541,0.6723014446690003,0.6723014445772036,0.6436964951059998,0.6436964951059998,0.4574898856769441,0.4574898856769441,0,0,0,40276.68790873432,15396.408360936328,55673.09626967065,0,0,0,2150.5920462807717,94.41479973624976,2245.0068460170214,8347.360454061522,6800.129660702097,15147.49011476362,91750.50439285296,76874.83246931646,32268.16888431715,109143.00135363359
1,FY20,Latin America,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.35063627207124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.2287699084389,155.67649152568063,254.1424523185027,88.66373293796117,456.20034270668265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163.5271920599857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.6873493518146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.3435517030871,0,0,0,0,0,0,0,0,0,0,549.4621122631431,149.58873315579697,0,0,0,0,0,0,0.17510529019766674,0.06897618285393134,0,0,0,0,0,2609.5768450461123,0,911.1494616149578,149.58873315579697,1060.7381947707547,1065.6863467282724,88.66373293796117,1154.3500796662336,463.57940618051015,155.67649152568063,619.2558977061908,FALSE,FALSE,0,1e-4,0.26095768450461126,0,1e-4,0,0.26095768450461126,0.7146467347428088,0.714646734778132,0.3387586798887122,0.3387586794770571,0.4127045443958578,0.4127045443682682,0.5074955141530146,0.5074955141530146,0.4564660720238724,0.4564660720238724,0,0,0,0.08840168070959717,0,0.08840168070959717,376.0355234323323,61.73594995968964,437.77147339202196,540.8310404587124,44.99644673407619,585.8274871927886,211.60827061037674,71.0610365931851,282.66930720356186,1154.3500796662336,1653.4185424516913,221.4607194908359,1874.879261942527
1,FY20,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704.5,1115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527.6753629807586,1668.350862941547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06618874167229116,0.18205033913295632,0,0,0,0,0,0,0,0,0,0,2527.6753629807586,1668.350862941547,4196.0262259223055,1704.5,1115.5,2820,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.47046180864249576,0.470461808684492,0.3921176451302011,0.3921176446407855,0.5022108105415736,0.5022108105087724,0.4655097327072351,0.4655097327072351,0.5973063741062864,0.5973063741062864,0,0,0,0,0,0,0,0,0,1176.6574825918365,776.6335642698045,1953.291046861641,1018.1087146641652,666.2952603155625,1684.4039749797275,4196.0262259223055,3545.7840776449243,2334.6461232571096,5880.430200902033
1,FY20,Latin America,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.1932663806671,4.572238088301168,241.76028372947752,2.0062054506974403,14.261594657689594,0,0,0,0,0,160.71058884920643,168.33369914629685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203758.1574073585,381213.07881700544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.1998039441098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.8210091751779,273.6191785014646,0,281.50914984572364,0.1645384448863087,0.17529471817386083,0,0,0,1406.040747870108,441.95287764776145,1005693.6621683433,314388.43960158865,0,0,0,1065.414948711944,6.578443538998608,1071.9933922509424,0,0,0,FALSE,FALSE,0.001398080549536913,0.007369904401034716,8807.54450888154,0.0014057542262299145,0.011478901763026409,4045.7137575991537,12853.258266480694,0.3852316737828484,0.3852316737265444,0.3498767471364612,0.34987674779262,0.4854241685320382,0.48542416857601467,0.49758724632473217,0.49758724632473217,0.3497897884854875,0.3497897884854875,0,0,0,3081.5550230270737,1415.501172008652,4497.056195035726,0,0,0,530.1368905227819,3.273349605673043,533.4102401284549,0,0,0,12853.258266480694,9337.681399404322,4048.9871072048263,13386.668506609149
1,FY21,Latin America,Colombia,3885.2045264685366,3445.174362150757,3754.2897641981517,0,0,0,8989.011890155958,6141.184761345319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12609.5,6064.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.07446384049919,24.81685142922534,7682.747924674241,1754.8795326246247,970.6938387139164,3.7946560185160583,20.778961621945555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15433.585839124149,8118.763731224767,0,0,13867.711363091012,7989.891071644984,0,0,67063.19640880881,40692.773715657655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9884061853360989,260.4495682740512,0,0,0,0,400.9358778684852,151.9127048304332,128.75511636955522,0,0,0,0,0,0,0,0,0,0,0,0,7091.430292512476,3759.560906192442,1487.309945891833,2363.6242274315673,0.14875067232468006,0.13999207828770469,8989.011890155958,6141.184761345319,15130.196651501277,40243.66166805103,19868.21570906219,57087.50085475643,34996.107751911455,0.9884061853360989,260.4495682740512,261.4379744593873,16866.56359837571,5332.603667163454,22199.167265539163,12712.5744638405,6089.316851429226,18801.891315269724,FALSE,FALSE,0.7049469860388536,0.8818267674574124,55097.00992963594,0.567726441177648,0.8391755088927021,32563.17221259408,87660.18214223001,0.3246198517838692,0.3246198518161971,0.5934356087504734,0.5934356083737307,0.725000291052886,0.7250002910276363,0.6963236202373463,0.6963236202373463,0.38661871426621963,0.38661871426621963,2918.011707465865,1993.5504872038055,4911.56219466967,32696.52762792438,19324.14591255933,52020.67354048371,0.7165947720471445,188.82601279670936,189.5426075687565,11744.586625784415,3713.217890810205,15457.80451659462,4914.91919422359,2354.243851859192,7269.163046082782,87660.18214223001,74675.24405188186,40813.010455264,115488.25450714583
1,FY21,Latin America,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.0942571126786,339.6567886249264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.3968015386763,99.46980204469942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1617297575726954,0.20857584938296325,0,0,0,0,0,0,0,0,0,0,276.3968015386763,99.46980204469942,375.8666035833757,678.0942571126786,339.6567886249264,1017.751045737605,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.6833970643836902,0.6833970643865674,0.5978885173476922,0.5978885173141562,0.6620541300128696,0.6620541300106221,0.5737314647824299,0.5737314647824299,0.5218686323856495,0.5218686323856495,0,0,0,0,0,0,0,0,0,158.5775418079633,57.06895522872374,215.64649703668704,353.8761225879566,177.25622376019197,531.1323463481485,1017.751045737605,836.671798920642,396.72574385365004,1233.397542774292
1,FY21,Latin America,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,231.91373319738227,205.57735584575943,450.12073356244014,937.8610851760533,0,0,0,0,0,0,0,0,0,0,0,0,55,77,165,187,121,143,0,0,1.0210315003091281,1.966506678273197,0,16.765252200623912,0,0,55,77,121,143,0,0,3636.2153702840824,3072.408436142748,13.1189707726204,190.96357349855842,20.754936645688176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.11115516308553,133.86443046459217,13861.254285906936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.119761793820647,3.993809156769525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059.3344007003825,5116.935849195678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.5344064095142,0,0,0,0,0,0,0,0,0,0,813.6469279513112,713.0057589363639,0,0,0,0,0,0,0.07468999658552919,0.11607718329459367,0,0,0,373.0248883604678,339.44178631035163,12825.957250621395,339.44178631035163,4884.101090445514,5833.935417288812,10718.036507734327,203.40831382782278,190.96357349855842,394.37188732638117,4604.3571353468315,4656.001280197698,9260.35841554453,FALSE,TRUE,0.029083590493208248,0.12776195461971027,1964.0358677099698,1,1,339.44178631035163,2303.4776540203216,0.5766822570683858,0.5766822570596595,0.47040659565392057,0.4704065957556128,0.5862926083558775,0.5862926083626929,0.5987145317779683,0.5987145317779683,0.5233306672253821,0.5233306672253821,0,0,0,923.8954262716408,159.67565515545667,1083.5710814270974,2863.512367791086,3420.3932128217525,6283.905580612838,121.78351337317095,114.33266649383704,236.116179867008,2409.601291785006,2436.628256568095,4846.229548353102,10718.036507734327,8339.381321875331,8544.571995506201,16883.953317381533
1,FY21,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679.5,2198.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.0207159680339,0.19566311997727848,147.6800858147584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.509361753615543,10.028586005373358,0,0,0,0,14.147156558418656,3.867642375282081,16.252323140079604,9.535134378023265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.19171156385767,316.42871825686353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.88254572007392,0,0,0,0,78.30661880844335,43.39886561229654,0,0,0,0,860.7887305481983,563.8502355354083,0,0,0,0,0,0,0.07783828872325797,0.2606662062541696,0,0,0,0,0,0,0,1296.8892835641698,903.7103165509504,2200.59960011512,666.8899663113095,43.594528732273815,710.4844950435834,2679.5,2198.5,4878,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.5063993728910783,0.506399372996478,0.49661700908602546,0.49661700785771723,0.6974610552849746,0.697461055202652,0.4365820978550655,0.4365820978550655,0.4822330176063227,0.4822330176063227,0,0,0,0,0,0,904.5297683024405,630.3027509791485,1534.8325192815892,291.1522205306855,19.032590808939034,310.1848113396245,1292.1433706761418,1060.1892892075005,2352.332659883642,4878,3875.1819888331265,2847.835341788088,6723.017330621214
