sim,fy,region,country,EDU.007_f,EDU.007_m,EDU.094_f,EDU.094_m,EDU.101_f,EDU.101_m,EDU.102_f,EDU.102_m,ENH.016_f,ENH.016_m,ENH.028_f,ENH.028_m,ENH.034_f,ENH.034_m,ENH.037_f,ENH.037_m,EWB.031_f,EWB.031_m,EWB.033_f,EWB.033_m,EWB.034_f,EWB.034_m,EWB.035_f,EWB.035_m,EWB.036_f,EWB.036_m,EWB.038_f,EWB.038_m,EWB.040_f,EWB.040_m,EWB.042_f,EWB.042_m,EWB.044_f,EWB.044_m,EWB.050_f,EWB.050_m,EWB.054_f,EWB.054_m,EWB.055_f,EWB.055_m,EWB.056_f,EWB.056_m,EWB.082_f,EWB.082_m,EWB.083_f,EWB.083_m,EWB.084_f,EWB.084_m,GBV.002_f,GBV.002_m,GBV.004_f,GBV.004_m,GBV.021_f,GBV.021_m,GBV.022_f,GBV.022_m,NUT.004_f,NUT.004_m,NUT.005_f,NUT.005_m,NUT.006_f,NUT.006_m,NUT.058_f,PHC.031_f,PHC.031_m,PHC.033_f,PHC.033_m,PHC.035_f,PHC.035_m,PHC.037_f,PHC.037_m,PHC.050_f,PHC.050_m,PHC.078_f,PHC.078_m,PHC.079_f,PHC.079_m,PHC.pop_f,PHC.pop_m,POW.039_f,POW.039_m,POW.040_f,POW.040_m,POW.053_f,POW.053_m,POW.054_f,POW.054_m,POW.055_f,POW.055_m,POW.056_f,POW.056_m,POW.069_f,POW.069_m,POW.075_f,POW.075_m,POW.076_f,POW.076_m,POW.077_f,POW.077_m,POW.078_f,POW.078_m,POW.081_f,POW.081_m,POW.082_f,POW.082_m,SHC.002_f,SHC.002_m,SHC.003_f,SHC.003_m,SHC.004_f,SHC.004_m,SHC.006_f,SHC.006_m,SHC.007_f,SHC.007_m,SHC.011_f,SHC.011_m,SHC.013_f,SHC.013_m,SHC.033_f,SHC.033_m,SHC.037_f,SHC.037_m,SHC.045_f,SHC.045_m,SHC.046_f,SHC.047_f,SHC.047_m,SHC.065_f,SHC.065_m,SHC.905_f,SHC.905_m,SHC.906_f,SHC.906_m,SIC.004_f,SIC.004_m,SIC.009_f,SIC.009_m,SIC.018_f,SIC.018_m,SRH.001_f,SRH.001_m,SRH.021_f,SRH.028_f,health_adj_coef_f,health_adj_coef_m,edu_f,edu_m,edu_total,health_f,health_m,health_catchment_f,health_catchment_m,power_f,power_m,power_total,safety_f,safety_m,safety_total,wb_f,wb_m,wb_total,catchment_fix_f,catchment_fix_m,health_presence_f,health_weight_f,adjusted_health_f,health_presence_m,health_weight_m,adjusted_health_m,adjusted_health_total,edu_overlap_f,edu_overlap_m,health_overlap_f,health_overlap_m,power_overlap_f,power_overlap_m,safety_overlap_f,safety_overlap_m,wb_overlap_f,wb_overlap_m,edu_clients_f,edu_clients_m,edu_clients,health_clients_f,health_clients_m,health_clients,power_clients_f,power_clients_m,power_clients,safety_clients_f,safety_clients_m,safety_clients,wb_clients_f,wb_clients_m,wb_clients,max_original_sector,total_clients_f,total_clients_m,total_clients
1,FY19,Latin America,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.8987868349799,85.74177692570409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479.2043897478093,0,0,0,60.46871589173001,4.018967085014006,0,0,0,0,0,0,0,0,0,0,0,0,0,971.9829180675248,166.46775294586658,70.4755776330162,13.857476293511406,824.1164814970616,212.4412565124315,0,0,262750.0341265107,43861.9928631411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.88011862064786,50.18598111512861,31.493825234210593,0,0,0,0,0,0,0,0,0,0,0,0,1379.305389466848,393.9219069333962,31.097068786244535,3969.6003611796777,0.17639026704738447,0.08324765860323934,0,0,0,7246.577796630373,786.6883926852056,216403.48544022613,40210.58465561261,0,0,0,3944.739205375315,35.5127923192246,3980.25199769454,325.8987868349799,85.74177692570409,411.640563760684,FALSE,FALSE,0.03348641904675785,0.1373832697660345,35981.237662860054,0.01956421174730169,0.1277511562413742,5823.136723814173,41804.37438667423,0.41803877281168544,0.4180387728360048,0.583734532971445,0.5837345407924025,1.021388752964705,1.0213887527590266,0.8435990801014192,0.8435990790875538,0.6716410716660266,0.6716410714219162,0,0,0,21003.49096286418,3399.166041447041,24402.657004311222,0,0,0,3327.7783648946192,29.958558896325428,3357.7369237909447,218.88701044450383,57.58769891999883,276.4747093645027,41804.37438667423,39527.903038199176,5910.682981630498,45438.58601982968
1,FY19,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.06058980500126,226.1157880397106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54314462133242,63.19972597447149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94461252874775,17.80355156716981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1433857962273549,0.07736145010606629,0,0,0,0,0,0,0,54.48775715008017,81.0032775416413,135.49103469172147,0,0,0,473.06058980500126,226.1157880397106,699.1763778447119,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.4127463504772812,0.412746350668548,0.5713445436411,0.571344537346131,0.5169743425886894,0.5169743451425212,0.6342798837548116,0.6342798860887913,0.7937644313184653,0.7937644299227551,0,0,0,0,0,0,28.168772431794853,41.8766163614879,70.04538879328275,0,0,0,375.49867004574463,179.4826695898754,554.9813396356201,699.1763778447119,501.22936223679613,267.9924044011985,769.2217666379945
1,FY20,Latin America,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4408.932560908096,1364.3020325635914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789.6673199585275,59.783405109627466,291.1256835433254,0,33.01021419476032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453.493983444919,1416.5339586965604,0,0,2772.4178570179224,1362.674186837339,0,0,237586.368633296,78251.19920317047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0517998264167,98.14817673333432,86.892552354926,0,0,0,0,0,0,0,0,0,0,0,0,4955.192010118448,2075.4289925516305,832.6914576215045,3159.3730286017735,0.16276508126496725,0.08628493773155498,0,0,0,15173.168336804569,4854.63713808553,198915.60403524913,71499.2993525054,0,0,0,3341.003194256364,146.67595746455345,3487.6791517209176,4408.932560908096,1364.3020325635914,5773.234593471688,FALSE,FALSE,0.07627942719926478,0.26165350023936806,63250.019779809605,0.06789768825777198,0.3132000779266844,25727.750537039392,88977.770316849,0.6501005792091454,0.6501005794472461,0.902798211279732,0.9027982134982028,0.93385374725163794,0.9338537503404029,0.7175868719007736,0.7175868734620123,0.29601101465909585,0.29601101148075304,0,0,0,57102.00472061978,23226.967222166582,80328.97194278636,0,0,0,2397.4600311769173,105.25274172903602,2502.7127729059534,1305.0926009179311,403.848424624396,1708.9410255423272,88977.770316849,66952.57241190445,26236.851703392826,93189.42411529728
1,FY20,Latin America,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.35063627207124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.2287699084389,155.67649152568063,254.1424523185027,88.66373293796116,456.2003427066826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163.5271920599857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.6873493518146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.3435517030871,0,0,0,0,0,0,0,0,0,0,549.4621122631431,149.58873315579697,0,0,0,0,0,0,0.15739494939706006,0.191238111723442,0,0,0,0,0,2665.6039897494807,0,911.1494616149578,149.58873315579697,1060.7381947707547,1065.6863467282724,88.66373293796116,1154.3500796662336,463.57940618051015,155.67649152568063,619.2558977061908,FALSE,FALSE,0,1e-4,0.2665603989749481,0,1e-4,0,0.2665603989749481,0.5253227405302695,0.5253227401991534,0.5151824896268776,0.5151824809524568,0.6976448735611196,0.6976448728841447,0.6740195548578801,0.6740195541939499,0.4778110982834292,0.4778110991591066,0,0,0,0.13732724997984755,0,0.13732724997984755,635.6587509436494,104.35981272737622,740.0185636710256,718.2934370399106,59.76108974801601,778.0545267879266,221.50338520868948,74.38395552911881,295.8873407378083,1154.3500796662336,1922.9858101305908,267.4075011944562,2190.3933113250473
1,FY20,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.2865640692504,48.58870215590028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527.6753629807586,1668.350862941547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20243006006970896,0.13902730901116075,0,0,0,0,0,0,0,0,0,0,2527.6753629807586,1668.350862941547,4196.0262259223055,632.2865640692504,48.58870215590028,680.8752662251507,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.2176829378035508,0.2176829380224598,0.388270134400966,0.3882701358238021,0.7138333723271675,0.7138333702292542,0.5202997712715616,0.5202997716817794,0.6133550643296876,0.6133550680650893,0,0,0,0,0,0,0,0,0,1315.14891320765,868.0425730735866,2183.191486281237,387.8161661794922,29.802126718026567,417.6182928975187,4196.0262259223055,2915.491529160251,1698.1529896595734,4613.644518819823
1,FY20,Latin America,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.1932663806671,4.572238088301168,241.76028372947752,2.0062054506974403,14.261594657689594,0,0,0,0,0,160.71058884920643,168.33369914629685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203758.1574073583,381213.07881700544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.1998039441098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.821009175178,273.6191785014646,0,281.50914984572364,0.17982786772511247,0.1514346598368992,0,0,0,1406.040747870108,441.95287764776145,987288.8947040827,323484.2059009752,0,0,0,1065.414948711944,6.578443538998608,1071.9933922509424,0,0,0,FALSE,FALSE,0.00142414318181056,0.00707432305949273,8380.494555571053,0.00136622706637817,0.01101341536815547,3999.751391658444,12380.245947229498,0.25526690377351835,0.25526690379498834,0.4797567052438218,0.4797567074336002,0.2310774793428972,0.23107748099670303,0.4051505406925737,0.40515054069431966,0.04043820730926018,0.04043820674280624,0,0,0,4020.598456294555,1918.9075582150156,5939.50601450957,0,0,0,431.6534425325948,2.6652599567523394,434.3187024893471,0,0,0,12380.245947229498,8812.147998103646,4002.416651615196,12814.564649718845
1,FY21,Latin America,Colombia,3885.2045264685366,3445.174362150757,3754.289764198152,0,0,0,8989.011890155958,6141.184761345319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6068.6783746614365,1113.021060424433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0744638404992,24.81685142922534,7682.747924674241,1754.8795326246247,970.6938387139164,3.7946560185160583,20.778961621945555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15433.585839124147,8118.763731224767,0,0,13867.711363091012,7989.891071644983,0,0,67063.19640880883,40692.773715657655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9884061853360988,260.4495682740512,0,0,0,0,400.9358778684852,151.9127048304332,128.75511636955522,0,0,0,0,0,0,0,0,0,0,0,0,7091.430292512476,3759.560906192442,1487.309945891833,2363.6242274315673,0.14444770702940413,0.12771674763535995,8989.011890155958,6141.184761345319,15130.196651501275,40243.661668051034,19868.21570906219,57376.071461493826,35495.62500443219,0.9884061853360988,260.4495682740512,261.4379744593873,16866.56359837571,5332.603667163453,22199.167265539163,6171.752838501936,1137.8379118536584,7309.590750355595,FALSE,FALSE,0.7014014839802917,0.8771445767389231,55271.262004838194,0.5597370297489149,0.8344164733038407,32907.98346018049,88179.24546501868,0.3243713747353419,0.3243713751202899,0.18485824118058847,0.18485823612647712,0.6846031938752756,0.6846031896964138,0.4514029631685936,0.4514029650534098,0.3708328950859808,0.3708329006891617,2915.778144322222,1992.0245459053504,4907.802690227572,10217.348282045874,6083.311776928249,16300.660058974125,0.6766660313271708,178.30460519546935,178.9812712267965,7613.616786778332,2407.153106812269,10020.7698935906,2288.6889728567926,421.94773336679083,2710.6367062235836,88179.24546501868,68090.02257482687,37907.41345146037,105997.43602628724
1,FY21,Latin America,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.0942571126786,339.6567886249264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.3968015386763,99.46980204469942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08275513386384159,0.10269403421242936,0,0,0,0,0,0,0,0,0,0,276.3968015386763,99.46980204469942,375.8666035833757,678.0942571126786,339.6567886249264,1017.751045737605,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.6625591252852822,0.6625591248734514,0.32185649179559533,0.3218564947765414,0.7484700476145216,0.7484700479038716,0.5593604460975194,0.5593604433830551,0.6451211426184401,0.6451211433650477,0,0,0,0,0,0,0,0,0,154.60543820860153,55.63947257494779,210.2449107835493,437.45294195153355,219.1197758294128,656.5727177809464,1017.751045737605,832.6996953212802,395.29626119987427,1227.9959565211543
1,FY21,Latin America,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,231.91373319738227,205.57735584575943,450.12073356244014,937.8610851760532,0,0,0,0,0,0,0,0,0,0,0,0,8.292547678960442,32.711858338840685,11.57579700056222,33.3831095393357,11.086837402700064,33.760439737606326,0,0,1.021031500309128,1.966506678273197,0,16.765252200623912,0,0,9.011965408992417,33.37174553178679,11.092844591790165,33.46370188048141,0,0,3636.2153702840824,3072.408436142748,13.118970772620386,190.9635734985584,20.754936645688176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.11115516308553,133.86443046459215,13861.254285906938,0,0,0,0,0,0,0,0,0,11.119761793820643,3.993809156769525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059.3344007003825,5116.935849195678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.5344064095142,0,0,0,0,0,0,0,0,0,0,813.6469279513112,713.0057589363639,0,0,0,0,0,0,0.12488505173279352,0.07045588001993619,0,0,0,373.0248883604678,339.44178631035163,12130.190827330043,339.44178631035163,4884.101090445514,5833.935417288812,10718.036507734329,203.40831382782275,190.9635734985584,394.3718873263812,4138.417127429837,4195.69213522575,8334.109262655587,FALSE,TRUE,0.0307517741204879,0.1278627896421539,1876.3289236028315,1,1,339.44178631035163,2215.770709913183,0.5544078558558994,0.5544078556600873,0.3247968742598957,0.3247968749627874,0.42918592664268645,0.429185928195218,0.46286783360297734,0.4628678327782633,0.12933871100732924,0.1293387090434716,0,0,0,609.4257694696342,110.24963142538849,719.6754008950227,2096.1874523194133,2503.842987100055,4600.030439419468,94.15116555831884,88.39089540487034,182.5420609631892,535.2575368724293,542.6654043139454,1077.9229411863748,10718.036507734329,6122.935562345898,6575.241348433015,12698.176910778917
1,FY21,Latin America,NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.3890898821269,181.86594765694772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.02071596803393,0.19566311997727848,147.6800858147584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.908841452113805,23.431362758678706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.19171156385767,316.42871825686353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.88254572007392,0,0,0,0,78.30661880844335,43.39886561229654,0,0,0,0,860.7887305481981,563.8502355354083,0,0,0,0,0,0,0.1853001569158636,0.13971730686668474,0,0,0,0,0,0,0,1296.8892835641695,903.7103165509506,2200.59960011512,666.8899663113095,43.594528732273815,710.4844950435834,598.3890898821269,181.86594765694772,780.2550375390746,FALSE,FALSE,0,1e-4,0,0,1e-4,0,0,0.5065691625128049,0.5065691623462188,0.876328988787402,0.8763289914220167,0.9817748504493986,0.981774852753061,0.7892441481234727,0.789244147515346,0.8050303378095669,0.8050303330984252,0,0,0,0,0,0,1273.2532824206403,887.2400629632316,2160.493345383872,526.3390033534608,34.406726665636704,560.7457300190976,481.7213711693679,146.4076044215334,628.1289755909013,2200.59960011512,2304.949658086998,1084.5246476381208,3389.474305725119
