region,country,gender,sector,FY19,FY20,FY21,FY22,FY23,FY24
Latin America,Colombia,total,Child Protection,81,179,276,233,4642,NA
Latin America,Colombia,female,Child Protection,50,94,147,132,2510,NA
Latin America,Colombia,male,Child Protection,31,85,129,101,2132,NA
Latin America,Colombia,total,Economic Recovery & Development,1541,23390,31922,48963,45824,18987
Latin America,Colombia,female,Economic Recovery & Development,884,13269,18855,29698,28090,12287
Latin America,Colombia,male,Economic Recovery & Development,657,10121,13067,19265,17734,6701
Latin America,Colombia,total,Primary Healthcare,2303,9078,43847,32688,36874,NA
Latin America,Colombia,female,Primary Healthcare,1879,6632,28421,21674,26164,NA
Latin America,Colombia,male,Primary Healthcare,424,2447,15426,11013,10710,NA
Latin America,Colombia,total,Sexual & Reproductive Health,5537,10564,14817,16170,7564,NA
Latin America,Colombia,female,Sexual & Reproductive Health,5224,8869,11022,11821,7564,NA
Latin America,Colombia,male,Sexual & Reproductive Health,312,1695,3795,4348,0,NA
Latin America,Colombia,total,Total Health Clients,48117,96226,86485,153024,123003,NA
Latin America,Colombia,female,Total Health Clients,43027,74426,57850,103452,88405,NA
Latin America,Colombia,male,Total Health Clients,5089,21800,28635,49572,34598,NA
Latin America,Colombia,total,Women's Protection & Empowerment,3910,3316,11164,19647,20608,1553
Latin America,Colombia,female,Women's Protection & Empowerment,3906,3256,9268,17340,18213,1029
Latin America,Colombia,male,Women's Protection & Empowerment,4,60,1896,2307,2395,523
Latin America,NCA,total,Economic Recovery & Development,2852,2985,3592,NA,NA,NA
Latin America,NCA,female,Economic Recovery & Development,1524,1772,2031,NA,NA,NA
Latin America,NCA,male,Economic Recovery & Development,1328,1213,1562,NA,NA,NA
Latin America,NCA,total,Protection & Rule of Law,135,4233,2262,NA,NA,NA
Latin America,NCA,female,Protection & Rule of Law,55,2582,1327,NA,NA,NA
Latin America,NCA,male,Protection & Rule of Law,80,1650,935,NA,NA,NA
Latin America,Mexico,total,Environmental Health,NA,82,1822,NA,NA,NA
Latin America,Mexico,female,Environmental Health,NA,82,672,NA,NA,NA
Latin America,Mexico,male,Environmental Health,NA,0,1150,NA,NA,NA
Latin America,Mexico,total,Total Health Clients,NA,1,2059,3831,5449,6780
Latin America,Mexico,female,Total Health Clients,NA,1,1150,2256,3283,4090
Latin America,Mexico,male,Total Health Clients,NA,0,909,1575,2165,2690
Latin America,Mexico,total,Protection & Rule of Law,NA,1066,10939,20230,11381,10949
Latin America,Mexico,female,Protection & Rule of Law,NA,887,5066,9701,6023,5887
Latin America,Mexico,male,Protection & Rule of Law,NA,179,5873,10528,5358,5062
Latin America,Mexico,total,Women's Protection & Empowerment,NA,1746,7556,863,932,424
Latin America,Mexico,female,Women's Protection & Empowerment,NA,1532,4202,513,612,301
Latin America,Mexico,male,Women's Protection & Empowerment,NA,214,3354,350,320,123
Latin America,Venezuela,total,Nutrition,NA,329,82,113,NA,120
Latin America,Venezuela,female,Nutrition,NA,162,43,52,NA,75
Latin America,Venezuela,male,Nutrition,NA,167,39,61,NA,45
Latin America,Venezuela,total,Sexual & Reproductive Health,NA,1441,3334,5702,8505,8584
